Row,Month,Description,Sales Rep,Qty,Cost,Sale Price,Location,Category
17,Jan 23,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Allen Rosenblatt,998,0.4,1.39,Nunavut,Envelopes
18,Jan 23,Hon 4-Shelf Metal Bookcases,Sylvia Foulston,1154,0.6,26.22,Nunavut,Bookcases
19,Jan 23,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Sylvia Foulston,1154,0.68,69,Nunavut,Tables
20,Jan 23,g520,Jim Radford,1344,0.59,5.26,Nunavut,Telephones and Communication
21,Jan 23,LX 788,Jim Radford,1344,0.58,8.99,Nunavut,Telephones and Communication
22,Jan 23,Avery 52,Carlos Soltero,1412,0.38,0.5,Nunavut,Labels
23,Jan 23,Plymouth Boxed Rubber Bands by Plymouth,Carlos Soltero,1412,0.8,0.7,Nunavut,Rubber Bands
24,Jan 23,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Carl Ludwig,1539,0.37,13.18,Nunavut,Binders and Binder Accessories
25,Jan 23,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Carl Ludwig,1539,0.66,4.93,Nunavut,Computer Peripherals
26,Jan 23,Newell 335,Don Miller,1540,0.56,0.7,Nunavut,Pens & Art Supplies
27,Jan 23,SANFORD Liquid Accent Tank-Style Highlighters,Annie Cyprus,1702,0.54,0.93,Nunavut,Pens & Art Supplies
28,Jan 23,Canon PC940 Copier,Carl Ludwig,1761,0.38,49,Nunavut,Copiers and Fax
29,Jan 23,"Tenex Personal Project File with Scoop Front Design, Black",Carlos Soltero,1792,0.59,4.51,Nunavut,Storage & Organization
30,Jan 23,Col-Erase® Pencils with Erasers,Grant Carroll,2275,0.56,1.17,Nunavut,Pens & Art Supplies
31,Jan 23,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Don Miller,2277,0.75,4.38,Nunavut,Computer Peripherals
32,Jan 23,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Don Miller,2277,0.36,19.99,Nunavut,Paper
33,Jan 23,Self-Adhesive Address Labels for Typewriters by Universal,Alan Barnes,2532,0.38,0.49,Nunavut,Labels
34,Jan 23,Accessory37,Alan Barnes,2532,0.81,2.5,Nunavut,Telephones and Communication
35,Jan 23,Fuji 5.2GB DVD-RAM,Jack Garza,2631,0.55,1.99,Nunavut,Computer Peripherals
36,Jan 23,Bevis Steel Folding Chairs,Julia West,2757,0.57,74.35,Nunavut,Chairs & Chairmats
37,Jan 23,Avery Binder Labels,Eugene Barchas,2791,0.37,7.01,Nunavut,Binders and Binder Accessories
38,Jan 23,Hon Every-Day® Chair Series Swivel Task Chairs,Eugene Barchas,2791,0.64,30,Nunavut,Chairs & Chairmats
39,Jan 23,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Eugene Barchas,2791,0.4,5.76,Nunavut,Paper
40,Jan 23,Global Troy Executive Leather Low-Back Tilter,Edward Hooks,2976,0.6,26,Nunavut,Chairs & Chairmats
41,Jan 23,XtraLife® ClearVue Slant-D® Ring Binders by Cardinal,Brad Eason,3232,0.35,4.71,Nunavut,Binders and Binder Accessories
42,Jan 23,Computer Printout Paper with Letter-Trim Perforations,Nicole Hansen,3524,0.37,9.03,Nunavut,Paper
43,Jan 23,6160,Dorothy Wardle,3908,0.57,2.5,Nunavut,Telephones and Communication
44,Jan 23,Avery 49,Aaron Bergman,4132,0.36,0.5,Nunavut,Labels
45,Jan 23,Hoover Portapower Portable Vacuum,Jim Radford,4612,0.6,49,Nunavut,Appliances
46,Jan 23,Timeport L7089,Annie Cyprus,4676,0.58,7.69,Nunavut,Telephones and Communication
47,Jan 23,Avery 510,Annie Cyprus,4676,0.37,0.5,Nunavut,Labels
48,Jan 23,Xerox 1881,Annie Cyprus,4676,0.38,6.47,Nunavut,Paper
49,Jan 23,LX 788,Annie Cyprus,4676,0.58,8.99,Nunavut,Telephones and Communication
50,Jan 23,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Annie Cyprus,5284,0.39,2.99,Nunavut,Binders and Binder Accessories
51,Jan 23,"Memorex 4.7GB DVD-RAM, 3/Pack",Clay Rozendal,5316,0.42,1.99,Nunavut,Computer Peripherals
52,Jan 23,Unpadded Memo Slips,Don Jones,5409,0.35,2.97,Nunavut,Paper
53,Jan 23,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Beth Thompson,5506,0.36,3.04,Nunavut,Paper
54,Jan 23,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Frank Price,5569,0.55,6.22,Nunavut,Office Furnishings
55,Jan 23,Bell Sonecor JB700 Caller ID,Michelle Lonsdale,5607,0.6,5.03,Nunavut,Telephones and Communication
56,Jan 23,Avery Arch Ring Binders,Ann Chong,5894,0.38,1.49,Nunavut,Binders and Binder Accessories
57,Jan 23,APC 7 Outlet Network SurgeArrest Surge Protector,Ann Chong,5894,0.55,4.5,Nunavut,Appliances
58,Jan 23,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Joy Bell,5925,0.67,39.61,Nunavut,Office Furnishings
59,Jan 23,Accessory4,Joy Bell,5925,0.85,0.99,Nunavut,Telephones and Communication
60,Jan 23,Personal Creations Ink Jet Cards and Labels,Skye Norling,6016,0.36,5.43,Nunavut,Paper
61,Jan 23,High Speed Automatic Electric Letter Opener,Barry Weirich,6116,0.81,24.49,Nunavut,"Scissors, Rulers and Trimmers"
62,Jan 23,Xerox 1966,Grant Carroll,6182,0.36,6.65,Nunavut,Paper
63,Jan 23,Xerox 213,Grant Carroll,6182,0.37,7.86,Nunavut,Paper
64,Jan 23,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Adrian Hane,6535,0.57,8.99,Nunavut,Pens & Art Supplies
65,Jan 23,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Skye Norling,6884,0.36,4.75,Nunavut,Paper
66,Jan 23,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Skye Norling,6884,0.39,1.02,Nunavut,Paper
67,Jan 23,Crate-A-Files,Andrew Gjertsen,6916,0.59,7.46,Nunavut,Storage & Organization
68,Jan 23,"Angle-D Binders with Locking Rings, Label Holders",Ralph Knight,6980,0.38,7.72,Nunavut,Binders and Binder Accessories
69,Jan 23,"80 Minute CD-R Spindle, 100/Pack - Staples",Dorothy Wardle,6982,0.54,1.99,Nunavut,Computer Peripherals
70,Jan 23,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Dorothy Wardle,6982,0.78,57.38,Nunavut,Bookcases
71,Jan 23,12-1/2 Diameter Round Wall Clock,Dorothy Wardle,6982,0.49,10.49,Nunavut,Office Furnishings
72,Jan 23,SAFCO Arco Folding Chair,Grant Carroll,7110,,24.49,Nunavut,Chairs & Chairmats
73,Jan 23,"#10 White Business Envelopes,4 1/8 x 9 1/2",Barry Weirich,7430,0.38,1.39,Nunavut,Envelopes
74,Jan 23,3M Office Air Cleaner,Beth Paige,7906,0.5,5.37,Nunavut,Appliances
75,Jan 23,"Global Leather and Oak Executive Chair, Black",Sylvia Foulston,8391,0.56,64.73,Nunavut,Chairs & Chairmats
76,Jan 23,Xerox 1936,Nicole Hansen,8419,0.38,5.97,Nunavut,Paper
77,Jan 23,Xerox 214,Nicole Hansen,8419,0.37,7.03,Nunavut,Paper
78,Jan 23,Carina Double Wide Media Storage Towers in Natural & Black,Nicole Hansen,8833,0.81,35,Nunavut,Storage & Organization
79,Jan 23,Staples® General Use 3-Ring Binders,Beth Paige,8995,0.37,1.49,Nunavut,Binders and Binder Accessories
80,Jan 23,Xerox 1904,Beth Paige,8995,0.36,5.86,Northwest Territories,Paper
81,Jan 23,Luxo Professional Combination Clamp-On Lamps,Beth Paige,8995,0.59,21.26,Northwest Territories,Office Furnishings
82,Jan 23,Xerox 217,Beth Paige,8995,0.37,8.19,Northwest Territories,Paper
83,Jan 23,Revere Boxed Rubber Bands by Revere,Beth Paige,8995,0.83,0.76,Northwest Territories,Rubber Bands
84,Jan 23,"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",Sylvia Foulston,9126,0.55,3.99,Northwest Territories,Appliances
85,Jan 23,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Bryan Davis,9127,0.8,35,Northwest Territories,Storage & Organization
86,Jan 23,Hon 4070 Series Pagoda Round Back Stacking Chairs,Joy Bell,9509,0.57,58.95,Northwest Territories,Chairs & Chairmats
87,Jan 23,Xerox 1887,Joy Bell,9509,0.37,5.21,Northwest Territories,Paper
88,Jan 23,Xerox 1891,Joy Bell,9509,0.38,5.81,Northwest Territories,Paper
89,Jan 23,Avery 506,Alan Barnes,9763,0.39,0.5,Northwest Territories,Labels
90,Jan 23,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Grant Carroll,9927,0.65,53.48,Northwest Territories,Bookcases
91,Jan 23,"Lifetime Advantage Folding Chairs, 4/Carton",Grant Carroll,9927,0.57,18.06,Northwest Territories,Chairs & Chairmats
92,Jan 23,Microsoft Natural Multimedia Keyboard,Grant Carroll,9927,0.73,6.5,Northwest Territories,Computer Peripherals
93,Jan 23,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Delfina Latchford,10022,0.36,2.27,Northwest Territories,Paper
94,Jan 23,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Don Jones,10437,0.37,13.18,Northwest Territories,Binders and Binder Accessories
95,Jan 23,Bevis Boat-Shaped Conference Table,Doug Bickford,10499,0.75,62.74,Northwest Territories,Tables
96,Jan 23,"Linden® 12"" Wall Clock With Oak Frame",Doug Bickford,10535,0.55,19.99,Northwest Territories,Office Furnishings
97,Jan 23,Newell 326,Doug Bickford,10535,0.56,0.7,Northwest Territories,Pens & Art Supplies
98,Jan 23,Prismacolor Color Pencil Set,Jamie Kunitz,10789,0.44,4.1,Northwest Territories,Pens & Art Supplies
99,Jan 23,Xerox Blank Computer Paper,Anthony Johnson,10791,0.38,5.77,Northwest Territories,Paper
100,Jan 23,600 Series Flip,Ralph Knight,10945,0.57,8.99,Northwest Territories,Telephones and Communication
101,Jan 23,Fellowes Recycled Storage Drawers,Allen Rosenblatt,11137,0.78,8.64,Northwest Territories,Storage & Organization
102,Jan 23,Satellite Sectional Post Binders,Barry Weirich,11202,0.39,2.99,Northwest Territories,Binders and Binder Accessories
103,Jan 23,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Doug Bickford,11456,0.61,24.49,Northwest Territories,Office Furnishings
104,Jan 23,Avery 487,Carl Jackson,11460,0.38,0.5,Northwest Territories,Labels
105,Jan 23,Bevis Round Conference Table Top & Single Column Base,Brendan Dodson,11495,0.65,43.75,Northwest Territories,Tables
106,Jan 23,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Edward Hooks,11911,0.36,9.73,Northwest Territories,Binders and Binder Accessories
107,Jan 23,Hanging Personal Folder File,Jamie Kunitz,11941,0.6,11.25,Northwest Territories,Storage & Organization
108,Jan 23,"Bevis Round Conference Table Top, X-Base",Jamie Kunitz,11941,0.74,29.21,Northwest Territories,Tables
109,Jan 23,5125,Michelle Lonsdale,12096,0.59,8.08,Northwest Territories,Telephones and Communication
110,Jan 23,Electrix Halogen Magnifier Lamp,Michelle Lonsdale,12096,0.59,11.54,Northwest Territories,Office Furnishings
111,Jan 23,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,Brendan Dodson,12289,0.36,7.11,Northwest Territories,Office Machines
112,Jan 23,Fellowes Black Plastic Comb Bindings,Hunter Glantz,12352,0.39,8.49,Northwest Territories,Binders and Binder Accessories
113,Jan 23,Polycom ViewStation Adapter H323 Videoconferencing Unit,Sylvia Foulston,12419,0.38,13.99,Northwest Territories,Office Machines
114,Jan 23,Hon GuestStacker Chair,Eugene Barchas,12485,0.59,28.16,Northwest Territories,Chairs & Chairmats
115,Jan 23,Eldon® Wave Desk Accessories,Jim Radford,12544,0.43,5.33,Northwest Territories,Office Furnishings
116,Jan 23,Sharp AL-1530CS Digital Copier,Carlos Soltero,12704,0.36,24.49,Northwest Territories,Copiers and Fax
117,Jan 23,"Tennsco Lockers, Gray",Carlos Soltero,12704,0.78,53.03,Northwest Territories,Storage & Organization
118,Jan 23,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Carlos Soltero,12771,0.39,19.99,Northwest Territories,Labels
119,Jan 23,Newell 323,Carlos Soltero,12771,0.59,1.57,Northwest Territories,Pens & Art Supplies
120,Jan 23,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Jim Radford,12929,0.77,50,Northwest Territories,Chairs & Chairmats
121,Jan 23,Spiral Phone Message Books with Labels by Adams,Jim Radford,12929,0.36,1.22,Northwest Territories,Paper
122,Jan 23,Crate-A-Files,Grant Carroll,13280,0.59,7.46,Northwest Territories,Storage & Organization
123,Jan 23,Bell Sonecor JB700 Caller ID,Grant Carroll,13280,0.6,5.03,Northwest Territories,Telephones and Communication
124,Jan 23,Holmes 99% HEPA Air Purifier,Skye Norling,13313,0.52,13.99,Northwest Territories,Appliances
125,Jan 23,Xerox 224,Doug Bickford,13346,0.37,8.88,Northwest Territories,Paper
126,Jan 23,Xerox 1906,Grant Carroll,13702,0.38,7.5,Northwest Territories,Paper
127,Jan 23,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Muhammed MacIntyre,13795,0.37,13.18,Northwest Territories,Binders and Binder Accessories
128,Jan 23,Xerox 188,Muhammed MacIntyre,13795,0.36,5.01,Northwest Territories,Paper
129,Jan 23,Xerox 1932,Muhammed MacIntyre,13795,0.38,5.09,Northwest Territories,Paper
130,Jan 23,GBC Linen Binding Covers,Doug Bickford,14116,0.37,11.63,Northwest Territories,Binders and Binder Accessories
131,Jan 23,GBC Recycled Grain Textured Covers,Doug Bickford,14116,0.37,14.72,Northwest Territories,Binders and Binder Accessories
132,Jan 23,"Sauder Facets Collection Library, Sky Alder Finish",Beth Thompson,14372,0.69,60.49,Northwest Territories,Bookcases
133,Jan 23,"Fellowes Basic 104-Key Keyboard, Platinum",Ralph Knight,14726,0.6,4,Northwest Territories,Computer Peripherals
134,Jan 23,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Carl Jackson,14819,0.55,0.99,Northwest Territories,Appliances
135,Jan 23,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Carl Jackson,14819,0.61,36.61,Northwest Territories,Bookcases
136,Jan 23,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Dorothy Badders,15106,0.37,4.95,Northwest Territories,Office Furnishings
137,Jan 23,Panasonic KX-P1150 Dot Matrix Printer,Dorothy Badders,15106,0.56,17.85,Northwest Territories,Office Machines
138,Jan 23,Newell 327,Dorothy Badders,15106,0.58,1.12,Northwest Territories,Pens & Art Supplies
139,Jan 23,Xerox 1893,Delfina Latchford,15108,0.36,17.48,Northwest Territories,Paper
140,Jan 23,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Julia West,15205,0.55,43.32,Northwest Territories,Chairs & Chairmats
141,Jan 23,Eldon Radial Chair Mat for Low to Medium Pile Carpets,Julia West,15205,0.65,9.2,Northwest Territories,Office Furnishings
142,Jan 23,"DAX Copper Panel Document Frame, 5 x 7 Size",Brad Eason,15591,0.43,5.16,Northwest Territories,Office Furnishings
143,Jan 23,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Thomas Seio,15907,0.69,54.11,Northwest Territories,Bookcases
144,Jan 23,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Thomas Seio,15907,0.65,13.99,Northwest Territories,Office Furnishings
145,Jan 23,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",Thomas Seio,15907,0.38,2.17,Northwest Territories,Paper
146,Jan 23,"Memorex Slim 80 Minute CD-R, 10/Pack",Monica Federle,15937,0.43,1.99,Northwest Territories,Computer Peripherals
147,Jan 23,Aluminum Document Frame,Monica Federle,15937,0.55,2.85,Northwest Territories,Office Furnishings
148,Jan 23,"Memorex 80 Minute CD-R Spindle, 100/Pack",Michelle Lonsdale,16039,0.44,1.99,Northwest Territories,Computer Peripherals
149,Jan 23,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Frank Price,16193,0.57,8.22,Northwest Territories,Storage & Organization
150,Jan 23,Accessory36,Frank Price,16193,0.83,5,Northwest Territories,Telephones and Communication
151,Jan 23,Xerox 20,Bryan Davis,16423,0.37,6.57,Northwest Territories,Paper
152,Jan 23,Surelock Post Binders,Don Jones,16451,0.35,2.99,Northwest Territories,Binders and Binder Accessories
153,Jan 23,Colorific® Watercolor Pencils,Carlos Soltero,16545,0.56,0.73,Northwest Territories,Pens & Art Supplies
154,Jan 23,"*Staples* vLetter Openers, 2/Pack",Carlos Soltero,16545,0.83,1.32,Northwest Territories,"Scissors, Rulers and Trimmers"
155,Jan 23,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Nicole Hansen,16547,0.64,58.92,Northwest Territories,Chairs & Chairmats
156,Jan 23,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Nicole Hansen,16547,0.77,69.64,Northwest Territories,Tables
157,Jan 23,Eldon Econocleat® Chair Mats for Low Pile Carpets,Beth Thompson,16706,0.73,34.2,Northwest Territories,Office Furnishings
158,Jan 23,Prang Drawing Pencil Set,Beth Thompson,16706,0.58,1.2,Northwest Territories,Pens & Art Supplies
159,Jan 23,T39m,Beth Thompson,16706,0.55,3.9,Northwest Territories,Telephones and Communication
160,Jan 23,Xerox 1982,Nicole Hansen,16741,0.39,16.87,Northwest Territories,Paper
161,Jan 23,Xerox 1924,Carlos Soltero,16932,0.36,8.09,Northwest Territories,Paper
162,Jan 23,Turquoise Lead Holder with Pocket Clip,Carlos Soltero,16932,0.52,1.56,Northwest Territories,Pens & Art Supplies
163,Jan 23,Okidata ML395C Color Dot Matrix Printer,Dorothy Badders,17283,0.59,14.7,Northwest Territories,Office Machines
164,Jan 23,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Muhammed MacIntyre,17286,0.77,50,Northwest Territories,Chairs & Chairmats
165,Jan 23,Microsoft Internet Keyboard,Muhammed MacIntyre,17409,0.78,6.5,Northwest Territories,Computer Peripherals
166,Jan 23,Xerox 1982,Don Miller,17764,0.39,16.87,Northwest Territories,Paper
167,Jan 23,Global Ergonomic Managers Chair,Sylvia Foulston,18080,0.59,26.2,Northwest Territories,Chairs & Chairmats
168,Jan 23,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Becky Castell,18113,0.78,30,Northwest Territories,Chairs & Chairmats
169,Jan 23,Xerox 1971,Dorothy Wardle,18144,0.4,5.17,Northwest Territories,Paper
170,Jan 23,Eldon Portable Mobile Manager,Dorothy Wardle,18144,0.58,13.99,Northwest Territories,Storage & Organization
171,Jan 23,Accessory6,Dorothy Wardle,18144,0.8,5,Northwest Territories,Telephones and Communication
172,Jan 23,Durable Pressboard Binders,Ann Chong,18308,0.38,1.49,Northwest Territories,Binders and Binder Accessories
173,Jan 23,Fellowes 17-key keypad for PS/2 interface,Ann Chong,18308,0.75,4,Northwest Territories,Computer Peripherals
174,Jan 23,StarTAC ST7762,Ann Chong,18308,0.57,8.08,Northwest Territories,Telephones and Communication
175,Jan 23,Accessory21,Clay Rozendal,18887,0.37,0.99,Northwest Territories,Telephones and Communication
176,Jan 23,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Grant Carroll,19010,0.35,19.99,Northwest Territories,Binders and Binder Accessories
177,Jan 23,Staples 6 Outlet Surge,Brendan Dodson,19078,0.58,4.98,Northwest Territories,Appliances
178,Jan 23,Recycled Eldon Regeneration Jumbo File,Carlos Daly,19138,0.57,6.13,Northwest Territories,Storage & Organization
179,Jan 23,Verbatim DVD-R 4.7GB authoring disc,Alan Barnes,19655,0.51,1.99,Northwest Territories,Computer Peripherals
180,Jan 23,Canon P1-DHIII Palm Printing Calculator,Alan Barnes,19686,0.4,8.51,Northwest Territories,Office Machines
181,Jan 23,GBC Binding covers,Alan Barnes,19686,0.4,4.98,Northwest Territories,Binders and Binder Accessories
182,Jan 23,Newell 323,Nicole Hansen,20007,0.59,1.57,Northwest Territories,Pens & Art Supplies
183,Jan 23,"Global Stack Chair without Arms, Black",Cari Schnelling,20071,0.6,14.36,Northwest Territories,Chairs & Chairmats
184,Jan 23,"Speediset Carbonless Redi-Letter® 7"" x 8 1/2""",Chad Cunningham,20160,0.38,1.79,Northwest Territories,Paper
185,Jan 23,GBC Recycled Regency Composition Covers,Bryan Mills,20263,0.39,10.29,Northwest Territories,Binders and Binder Accessories
186,Jan 23,Accessory29,Bryan Mills,20263,0.83,1.25,Northwest Territories,Telephones and Communication
187,Jan 23,Newell 323,Adrian Hane,21285,0.59,1.57,Northwest Territories,Pens & Art Supplies
188,Jan 23,SANFORD Major Accent Highlighters,Adrian Hane,21285,0.47,2.35,Northwest Territories,Pens & Art Supplies
189,Jan 23,Polycom ViaVideo Desktop Video Communications Unit,Rick Reed,21383,0.37,24.49,Northwest Territories,Office Machines
190,Jan 23,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Heather Kirkland,21607,0.41,13.89,Northwest Territories,Pens & Art Supplies
191,Jan 23,Accessory24,Fred Wasserman,21636,0.59,3.3,Northwest Territories,Telephones and Communication
192,Jan 23,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Becky Castell,21889,0.55,19.99,Northwest Territories,Office Furnishings
193,Jan 23,Recycled Steel Personal File for Standard File Folders,Becky Castell,21889,0.59,5.08,Northwest Territories,Storage & Organization
194,Jan 23,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Beth Thompson,22151,0.55,6.22,Northwest Territories,Office Furnishings
195,Jan 23,Accessory39,Claudia Miner,22342,0.81,3.3,Northwest Territories,Telephones and Communication
196,Jan 23,Bell Sonecor JB700 Caller ID,Jack Lebron,22469,0.6,5.03,Northwest Territories,Telephones and Communication
197,Jan 23,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Alan Barnes,22501,0.36,1.39,Northwest Territories,Envelopes
198,Jan 23,GBC Standard Plastic Binding Systems Combs,Carlos Soltero,22532,0.36,5.6,Northwest Territories,Binders and Binder Accessories
199,Jan 23,Xerox 1930,Clay Rozendal,23264,0.36,6.81,Northwest Territories,Paper
200,Jan 23,Avery 474,Clay Rozendal,23264,0.36,0.99,Northwest Territories,Labels
201,Jan 23,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Julia West,23488,0.62,44.55,Northwest Territories,Bookcases
202,Jan 23,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Alan Barnes,23584,0.36,15.59,Northwest Territories,Office Machines
203,Jan 23,"IBM 80 Minute CD-R Spindle, 50/Pack",Joy Bell,24007,0.48,1.99,Northwest Territories,Computer Peripherals
204,Jan 23,"Peel & Seel® Recycled Catalog Envelopes, Brown",Joy Bell,24007,0.35,6.97,Northwest Territories,Envelopes
205,Jan 23,Avery 506,Joy Bell,24007,0.39,0.5,Northwest Territories,Labels
206,Jan 23,Prang Drawing Pencil Set,Jack Lebron,24038,0.45,1.34,Northwest Territories,Pens & Art Supplies
207,Jan 23,TDK 4.7GB DVD+RW,Anthony Johnson,24097,0.49,1.99,Northwest Territories,Computer Peripherals
208,Jan 23,U.S. Robotics 56K Internet Call Modem,Anthony Johnson,24097,0.5,19.99,Northwest Territories,Computer Peripherals
209,Jan 23,Xerox 190,Anthony Johnson,24097,0.38,4.86,Northwest Territories,Paper
210,Jan 23,Standard Line “While You Were Out” Hardbound Telephone Message Book,Eugene Barchas,24128,0.39,8.32,Northwest Territories,Paper
211,Jan 23,CF 888,Eugene Barchas,24128,0.59,3.99,Northwest Territories,Telephones and Communication
212,Jan 23,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Thomas Seio,24294,0.36,15.59,Northwest Territories,Office Machines
213,Jan 23,Dana Halogen Swing-Arm Architect Lamp,Bryan Mills,24387,0.57,14.45,Northwest Territories,Office Furnishings
214,Jan 23,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Bryan Mills,24387,,60,Northwest Territories,Tables
215,Jan 23,Lexmark Z25 Color Inkjet Printer,Eugene Barchas,24515,0.37,33.6,Northwest Territories,Office Machines
216,Jan 23,Hon Multipurpose Stacking Arm Chairs,Sylvia Foulston,24743,0.59,64.2,Northwest Territories,Chairs & Chairmats
217,Jan 23,Hon Olson Stacker Stools,Sylvia Foulston,24743,0.57,24.49,Northwest Territories,Chairs & Chairmats
218,Jan 23,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Carl Ludwig,24871,0.44,8.99,Northwest Territories,Office Furnishings
219,Jan 23,12-1/2 Diameter Round Wall Clock,Julia West,25318,0.49,10.49,Northwest Territories,Office Furnishings
220,Jan 23,Epson DFX5000+ Dot Matrix Printer,Don Jones,25377,0.57,29.7,Northwest Territories,Office Machines
221,Jan 23,"Fellowes Basic 104-Key Keyboard, Platinum",Mike Pelletier,25634,0.6,4,Northwest Territories,Computer Peripherals
222,Jan 23,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Mike Pelletier,25634,0.35,6.71,Northwest Territories,Envelopes
223,Jan 23,GBC Standard Therm-A-Bind Covers,Eugene Barchas,25733,0.39,12.98,Northwest Territories,Binders and Binder Accessories
224,Jan 23,"80 Minute CD-R Spindle, 100/Pack - Staples",Ann Chong,25767,0.54,1.99,Northwest Territories,Computer Peripherals
